"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2022","373.86","373.86","373.86","373.86","","1.50%"
"10/17/2022","368.34","368.34","368.34","368.34","","-1.43%"
"10/14/2022","373.69","373.69","373.69","373.69","","0.27%"
"10/13/2022","372.69","372.69","372.69","372.69","","1.23%"
"10/12/2022","368.17","368.17","368.17","368.17","","2.54%"
"10/11/2022","359.05","359.05","359.05","359.05","","-3.15%"
"10/10/2022","370.73","370.73","370.73","370.73","","0.41%"
"10/07/2022","369.21","369.21","369.21","369.21","","-2.32%"
"10/06/2022","377.99","377.99","377.99","377.99","","-3.05%"
"10/05/2022","389.88","389.88","389.88","389.88","","2.90%"
"10/04/2022","378.91","378.91","378.91","378.91","","-0.94%"
"10/03/2022","382.50","382.50","382.50","382.50","","-3.66%"
"09/30/2022","397.05","397.05","397.05","397.05","","0.36%"
"09/29/2022","395.61","395.61","395.61","395.61","","-1.63%"
"09/28/2022","402.16","402.16","402.16","402.16","","-2.40%"
"09/27/2022","412.07","412.07","412.07","412.07","","-1.09%"
"09/26/2022","416.63","416.63","416.63","416.63","","-2.50%"
"09/23/2022","427.33","427.33","427.33","427.33","","-1.24%"
"09/22/2022","432.71","432.71","432.71","432.71","","0.15%"
"09/21/2022","432.05","432.05","432.05","432.05","","-0.61%"
"09/20/2022","434.70","434.70","434.70","434.70","","1.21%"
"09/19/2022","429.52","429.52","429.52","429.52","","-2.08%"
"09/16/2022","438.64","438.64","438.64","438.64","","-0.69%"
"09/15/2022","441.69","441.69","441.69","441.69","","0.36%"
"09/14/2022","440.09","440.09","440.09","440.09","","-0.52%"
"09/13/2022","442.40","442.40","442.40","442.40","","-0.45%"
"09/12/2022","444.42","444.42","444.42","444.42","","-0.04%"
"09/09/2022","444.58","444.58","444.58","444.58","","1.36%"
"09/08/2022","438.61","438.61","438.61","438.61","","0.01%"
"09/07/2022","438.55","438.55","438.55","438.55","","-2.54%"
"09/06/2022","449.98","449.98","449.98","449.98","","-0.11%"
"09/05/2022","450.48","450.48","450.48","450.48","","0.55%"
"08/31/2022","448.00","448.00","448.00","448.00","","-0.07%"
"08/30/2022","448.30","448.30","448.30","448.30","","0.23%"
"08/29/2022","447.26","447.26","447.26","447.26","","-1.25%"
"08/26/2022","452.92","452.92","452.92","452.92","","-1.10%"
"08/25/2022","457.94","457.94","457.94","457.94","","1.21%"
"08/24/2022","452.45","452.45","452.45","452.45","","0.41%"
"08/23/2022","450.61","450.61","450.61","450.61","","0.89%"
"08/22/2022","446.64","446.64","446.64","446.64","","-1.33%"
"08/19/2022","452.64","452.64","452.64","452.64","","-0.63%"
"08/18/2022","455.53","455.53","455.53","455.53","","0.12%"
"08/17/2022","454.97","454.97","454.97","454.97","","0.66%"
"08/16/2022","451.99","451.99","451.99","451.99","","0.28%"
"08/15/2022","450.75","450.75","450.75","450.75","","0.31%"
"08/12/2022","449.37","449.37","449.37","449.37","","0.95%"
"08/11/2022","445.15","445.15","445.15","445.15","","-0.47%"
