"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2022","1,301.68","1,301.68","1,301.68","1,301.68","","0.11%"
"09/09/2022","1,300.29","1,300.29","1,300.29","1,300.29","","1.21%"
"09/08/2022","1,284.76","1,284.76","1,284.76","1,284.76","","-0.14%"
"09/07/2022","1,286.57","1,286.57","1,286.57","1,286.57","","-2.67%"
"09/06/2022","1,321.93","1,321.93","1,321.93","1,321.93","","-0.03%"
"09/05/2022","1,322.38","1,322.38","1,322.38","1,322.38","","0.15%"
"08/31/2022","1,320.38","1,320.38","1,320.38","1,320.38","","0.18%"
"08/30/2022","1,318.00","1,318.00","1,318.00","1,318.00","","0.13%"
"08/29/2022","1,316.29","1,316.29","1,316.29","1,316.29","","-1.05%"
"08/26/2022","1,330.20","1,330.20","1,330.20","1,330.20","","-0.56%"
"08/25/2022","1,337.65","1,337.65","1,337.65","1,337.65","","1.20%"
"08/24/2022","1,321.81","1,321.81","1,321.81","1,321.81","","0.39%"
"08/23/2022","1,316.68","1,316.68","1,316.68","1,316.68","","0.78%"
"08/22/2022","1,306.54","1,306.54","1,306.54","1,306.54","","-0.82%"
"08/19/2022","1,317.35","0.00","0.00","0.00","","-0.64%"
"08/18/2022","1,325.84","1,325.84","1,325.84","1,325.84","","-0.04%"
"08/17/2022","1,326.42","1,326.42","1,326.42","1,326.42","","0.34%"
"08/16/2022","1,321.91","1,321.91","1,321.91","1,321.91","","0.21%"
"08/15/2022","1,319.20","1,319.20","1,319.20","1,319.20","","0.91%"
"08/12/2022","1,307.24","1,307.24","1,307.24","1,307.24","","0.89%"
"08/11/2022","1,295.72","1,295.72","1,295.72","1,295.72","","-0.60%"
"08/10/2022","1,303.49","1,303.49","1,303.49","1,303.49","","-0.19%"
"08/09/2022","1,306.03","1,306.03","1,306.03","1,306.03","","0.38%"
"08/08/2022","1,301.11","1,301.11","1,301.11","1,301.11","","0.33%"
"08/05/2022","1,296.85","1,296.85","1,296.85","1,296.85","","-0.19%"
"08/04/2022","1,299.37","1,299.37","1,299.37","1,299.37","","0.39%"
"08/03/2022","1,294.26","1,294.26","1,294.26","1,294.26","","0.51%"
"08/02/2022","1,287.69","1,287.69","1,287.69","1,287.69","","0.92%"
"08/01/2022","1,275.99","1,275.99","1,275.99","1,275.99","","2.30%"
"07/29/2022","1,247.26","1,247.26","1,247.26","1,247.26","","-0.72%"
"07/28/2022","1,256.33","1,256.33","1,256.33","1,256.33","","1.38%"
"07/27/2022","1,239.18","1,239.18","1,239.18","1,239.18","","0.31%"
"07/26/2022","1,235.29","1,235.29","1,235.29","1,235.29","","-0.51%"
"07/25/2022","1,241.65","1,241.65","1,241.65","1,241.65","","-0.43%"
"07/22/2022","1,246.95","1,246.95","1,246.95","1,246.95","","-0.61%"
"07/21/2022","1,254.63","1,254.63","1,254.63","1,254.63","","0.62%"
"07/20/2022","1,246.94","1,246.94","1,246.94","1,246.94","","1.30%"
"07/19/2022","1,230.90","1,230.90","1,230.90","1,230.90","","-0.08%"
"07/18/2022","1,231.90","1,231.90","1,231.90","1,231.90","","-0.49%"
"07/15/2022","1,238.00","1,238.00","1,238.00","1,238.00","","-0.19%"
"07/14/2022","1,240.35","1,240.35","1,240.35","1,240.35","","0.65%"
"07/13/2022","1,232.34","1,232.34","1,232.34","1,232.34","","-0.31%"
"07/12/2022","1,236.22","1,236.22","1,236.22","1,236.22","","1.21%"
"07/11/2022","1,221.48","1,221.48","1,221.48","1,221.48","","-1.46%"
"07/08/2022","1,239.52","1,239.52","1,239.52","1,239.52","","0.91%"
"07/07/2022","1,228.34","1,228.34","1,228.34","1,228.34","","1.92%"
"07/06/2022","1,205.15","1,205.15","1,205.15","1,205.15","","-2.97%"
"07/05/2022","1,242.06","1,242.06","1,242.06","1,242.06","","-1.62%"
"07/04/2022","1,262.50","1,262.50","1,262.50","1,262.50","","-0.42%"
"07/01/2022","1,267.78","1,267.78","1,267.78","1,267.78","","0.10%"
"06/30/2022","1,266.50","1,266.50","1,266.50","1,266.50","","-1.90%"
"06/29/2022","1,291.09","1,291.09","1,291.09","1,291.09","","0.11%"
"06/28/2022","1,289.65","1,289.65","1,289.65","1,289.65","","0.75%"
"06/27/2022","1,280.07","1,280.07","1,280.07","1,280.07","","1.82%"
