"Date","Price","Open","High","Low","Vol.","Change %"
"09/28/2022","50,300.0","49,700.0","50,300.0","48,800.0","1.32M","0.60%"
"09/27/2022","50,000.0","50,100.0","50,400.0","49,900.0","1.49M","-0.79%"
"09/26/2022","50,400.0","50,200.0","50,700.0","49,950.0","1.57M","-0.79%"
"09/23/2022","50,800.0","51,300.0","51,700.0","50,800.0","1.56M","-1.55%"
"09/22/2022","51,600.0","51,100.0","51,700.0","50,800.0","1.46M","0.00%"
"09/21/2022","51,600.0","51,400.0","51,700.0","51,000.0","1.41M","-0.19%"
"09/20/2022","51,700.0","50,800.0","51,900.0","50,800.0","1.75M","1.37%"
"09/19/2022","51,000.0","52,900.0","53,000.0","50,900.0","2.19M","-4.67%"
"09/16/2022","53,500.0","51,200.0","53,500.0","50,300.0","2.25M","4.29%"
"09/15/2022","51,300.0","51,200.0","51,600.0","50,600.0","1.83M","0.79%"
"09/14/2022","50,900.0","51,300.0","51,700.0","50,500.0","1.84M","-1.74%"
"09/13/2022","51,800.0","53,700.0","54,300.0","51,800.0","1.89M","-3.36%"
"09/12/2022","53,600.0","53,100.0","53,800.0","52,900.0","1.94M","0.19%"
"09/09/2022","53,500.0","53,500.0","54,300.0","53,200.0","1.75M","-0.93%"
"09/08/2022","54,000.0","53,600.0","54,600.0","52,800.0","1.81M","0.37%"
"09/07/2022","53,800.0","55,000.0","55,200.0","53,600.0","2.36M","-2.18%"
"09/06/2022","55,000.0","54,700.0","55,500.0","54,300.0","2.73M","0.18%"
"09/05/2022","54,900.0","55,000.0","55,400.0","54,500.0","2.28M","-0.54%"
"08/31/2022","55,200.0","55,000.0","55,800.0","54,500.0","2.29M","0.18%"
"08/30/2022","55,100.0","53,600.0","55,500.0","53,500.0","3.11M","2.42%"
"08/29/2022","53,800.0","55,200.0","55,700.0","53,800.0","2.74M","-4.44%"
"08/26/2022","56,300.0","56,200.0","56,700.0","55,700.0","2.90M","-0.71%"
"08/25/2022","56,700.0","56,400.0","56,800.0","55,100.0","2.43M","0.53%"
"08/24/2022","56,400.0","56,700.0","56,900.0","56,000.0","2.86M","-0.35%"
"08/23/2022","56,600.0","55,600.0","56,900.0","55,300.0","3.20M","0.89%"
"08/22/2022","56,100.0","57,400.0","57,500.0","55,700.0","2.85M","-2.60%"
"08/19/2022","57,600.0","58,100.0","58,400.0","57,100.0","2.91M","-1.37%"
"08/18/2022","58,400.0","58,600.0","58,700.0","57,700.0","3.32M","0.34%"
"08/17/2022","58,200.0","54,700.0","58,200.0","54,200.0","5.21M","6.79%"
